text,song
"Do you know, do you know, do you know, just how I feel?",Sheer Heart Attack
"Do you know, do you know, do you know, just how I feel?",Sheer Heart Attack
"Sheer heart attack, Sheer heart attack",Sheer Heart Attack
Real cardiac,Sheer Heart Attack
I feel so in-ar in-ar in-ar in-ar in-ar in-ar in-ar in-ar-tic-u-late,Sheer Heart Attack
Gotta feeling gotta feeling gotta feeling like a paralyse,Sheer Heart Attack
It ain't no it ain't no it ain't no it ain't no surprise,Sheer Heart Attack
Turn on the TV let it drip right down in your eyes,Sheer Heart Attack
"Hey, hey, hey, hey, it was the D.N.A.",Sheer Heart Attack
"Hey, hey, hey, hey, that made me this way",Sheer Heart Attack
"Do you know, do you know, do you know, just how I feel?",Sheer Heart Attack
"Do you know, do you know, do you know, just how I feel?",Sheer Heart Attack
"Sheer heart attack, Sheer heart attack",Sheer Heart Attack
Real cardiac,Sheer Heart Attack
I feel so in-ar in-ar in-ar in-ar in-ar in-ar in-ar in-ar-tic-u-late,Sheer Heart Attack
Just how I feel,Sheer Heart Attack
"Do you know, do you know, do you know, do you know, just how I feel?",Sheer Heart Attack
"Do you know, do you know, do you know, just how I feel?",Sheer Heart Attack
"Do you know, do you know, do you know, do you know, just how I feel?",Sheer Heart Attack
"Sheer heart attack, Sheer heart attack",Sheer Heart Attack
Real cardiac,Sheer Heart Attack
"Hey you boy, hey you, hey you boy",Fight From The Inside
Think that you know what you're doing?,Fight From The Inside
You think you're gonna set things to rights,Fight From The Inside
You're just another picture on a teenage wall,Fight From The Inside
You're just another sucker ready for a fall,Fight From The Inside
You gonna fight from the inside,Fight From The Inside
"Attack from the rear, fight from the inside",Fight From The Inside
You can't win with your hands tied,Fight From The Inside
"Fight from the inside, fight from the inside",Fight From The Inside
Right down the line,Fight From The Inside
"Hey you boy, hey you, hey you boy",Fight From The Inside
Think that you know what you're doing?,Fight From The Inside
You think that out in the streets is all true,Fight From The Inside
"You're just another, money spinner tool",Fight From The Inside
"You're just another, fool",Fight From The Inside
You gotta fight from the inside,Fight From The Inside
"Attack from the rear, fight from the inside",Fight From The Inside
You can't win with your hands tied,Fight From The Inside
"Fight from the inside, fight from the inside",Fight From The Inside
Right down the line,Fight From The Inside
Happy little day Jimmy went away,Brighton Rock
Met his little Jenny on a public holiday,Brighton Rock
A happy pair they made so decorously laid,Brighton Rock
'Neath the gay illuminations all along the promenade,Brighton Rock
"""It's so good to know there's still a little magic in the air",Brighton Rock
"I'll weave my spell""",Brighton Rock
"-""Jenny will you stay tarry with me pray",Brighton Rock
Nothing 'ere need come between us,Brighton Rock
"Tell me love what do you say?""-",Brighton Rock
"-""Oh no I must away to my mum in disarray",Brighton Rock
If my mother should discover how I spent my holiday,Brighton Rock
It would be of small avail to talk of magic in the air,Brighton Rock
"I'll say farewell""-",Brighton Rock
"Oh rock of ages do not crumble, love is breathing still",Brighton Rock
"Oh lady moon shine down, a little people magic if you will",Brighton Rock
Jenny pines away writes a letter every day,Brighton Rock
"-""We must ever be together, nothing can my love erase""-",Brighton Rock
"-""Oh no I'm compromised",Brighton Rock
"I must apologize if my lady should discover how I spent my holidays""-",Brighton Rock
Everybody in the morning,Fun It
"Should do a good time, all right",Fun It
Everybody in the night time,Fun It
Should have a good time all night,Fun It
Now we got a movement,Fun It
Don't shun it fun it,Fun It
Can't you see now you're moving free?,Fun It
Get some fun join our dynasty,Fun It
Can't you tell when we get it down?,Fun It
You're the one you're the best in town,Fun It
"Hey everybody, everybody, gonna have a good time tonight",Fun It
Just shaking the soles of your feet,Fun It
"Everybody, everybody, gonna have a good time tonight",Fun It
That's the only soul you'll ever meet,Fun It
They say that moving the body's right it's all right,Fun It
